ASNNumber;Номенклатура;Машина;Qty ASN;ДП/МП;Паллет №;Приоритет;Факт;Остаток;Часы;Статус;Приемка до;Месяц;Тип
MPS175027;WB Somofilcon A 56% 1 day (30pk);26_006;1 033;МП;2;;1033;0;0,0;Закрыто;;-;Сфера
MPS175047;WB Somofilcon A 56% 1 day (30pk);26_006;3 422;МП;1,2;;3422;0;0,0;Закрыто;;-;Сфера
MPS175064;Diag Biofinity Energys (3pk);26_006;120;МП;16;;120;0;0,0;Закрыто;;-;Сфера
MPS175502;Diag MyDay Multifocal (5pk);26_006;8 638;МП;15;;8638;0;0,0;Закрыто;;-;Сложные
MPS175053;Biofinity Toric (3 pk) (new);26_006;87;МП;16;;87;0;0,0;Закрыто;;-;Сложные
MPS175428;Diag MyDay Multifocal (5pk);26_006;17 884;МП;9,10;;17884;0;0,0;Закрыто;;-;Сложные
MPS175065;Biofinity (6pk)_Bespoke;26_006;15 627;МП;3,4;;15627;0;0,0;Закрыто;;-;Сфера
MPS175388;iWear oxygen (3pk);26_006;7 832;МП;6;;7831;1;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS175062;MiSight 1 day (90pk);26_006;40;МП;16;;40;0;0,0;Закрыто;;-;Сфера
MPS175145;Biomedics 55 Evolution (6pk);26_006;50;МП;16;;50;0;0,0;Закрыто;;-;Сфера
MPS175415;iWear oxygen (6pk);26_006;9 588;МП;7;;9588;0;0,0;Закрыто;;-;Сфера
MPS175118;Biosoft Premium (3pk);26_006;7 442;МП;5;;7442;0;0,0;Закрыто;;-;Сфера
MPS175418;WB Stenfilcon A 54% 1 Day MD (30pk);26_006;924;МП;8;;924;0;0,0;Закрыто;;-;Сфера
MPS175427;Biofinity Energys (3pk);26_006;353;МП;8;;353;0;0,0;Закрыто;;-;Сфера
MPS175450;Diag MyDay Multifocal (5pk);26_006;18 396;МП;11,12;;18396;0;0,0;Закрыто;;-;Сложные
MPS175600;WB Comfilcon A toric BF (3pk);26_006;58;МП;16;;58;0;0,0;Закрыто;;-;Сложные
